pT      v2         v2StatErr  v2PosSystErr  v2NegSysErr
0.5     0.0400     0.0030     0             0
0.7     0.0644     0.0038     0.0055        0.0055
0.9     0.0773     0.0050     0.0088        0.0088
1.1     0.1090     0.0065     0.0106        0.0106
1.3     0.0920     0.0083     0.0150        0.0150
1.5     0.1274     0.0106     0.0126        0.0126
1.7     0.1236     0.0134     0.0175        0.0175
1.9     0.1286     0.0168     0.0170        0.0170
2.25    0.1622     0.0153     0.0177        0.0177
2.75    0.1816     0.0254     0.0223        0.0223
3.25    0.1527     0.0405     0.0249        0.0249
3.75    0.1565     0.0614     0.0210        0.0210
