institute,person,run,status
69,360,20,prim
60,435,20,prim
60,520,20,prim
69,540,20,prim
62,844,20,prim
54,1098,20,prim
56,1633,20,prim
6,1659,20,prim
85,1700,20,prim
30,857,20,prim
43,552,20,prim
85,721,20,prim
20,827,20,prim
20,1102,20,prim
86,1640,20,prim
19,1695,20,prim
15,343,20,prim
56,381,20,prim
61,393,20,prim
23,404,20,prim
43,465,20,prim
14,485,20,prim
8,508,20,prim
8,510,20,prim
30,522,20,prim
23,1682,20,prim
4,895,20,prim
30,1648,20,prim
75,1651,20,prim
64,1680,20,prim
48,1657,20,prim
43,1635,20,prim
23,764,20,prim
30,495,20,prim
55,1585,20,prim
56,1589,20,prim
14,1595,20,prim
60,104,20,prim
48,304,20,prim
61,306,20,prim
8,327,20,prim
64,330,20,prim
43,335,20,prim
8,345,20,prim
19,353,20,prim
69,358,20,prim
3,394,20,prim
37,410,20,prim
58,428,20,prim
30,457,20,prim
30,458,20,prim
8,467,20,prim
55,504,20,prim
55,505,20,prim
8,529,20,prim
31,533,20,prim
61,538,20,prim
9,539,20,prim
25,544,20,prim
8,554,20,prim
75,582,20,prim
8,619,20,prim
88,698,20,prim
43,669,20,prim
60,672,20,prim
55,751,20,prim
11,783,20,prim
60,532,20,prim
23,819,20,prim
14,834,20,prim
60,874,20,prim
64,936,20,prim
69,1043,20,prim
31,962,20,prim
14,1004,20,prim
23,427,20,prim
31,1058,20,prim
31,567,20,prim
30,1553,20,prim
30,1554,20,prim
48,1556,20,prim
9,1557,20,prim
8,970,20,prim
55,1221,20,prim
75,1630,20,prim
69,880,20,prim
48,1666,20,prim
19,1668,20,prim
69,1669,20,prim
64,1645,20,prim
15,603,20,prim
14,749,20,prim
25,1197,20,prim
26,366,20,prim
26,596,20,prim
37,1574,20,prim
43,815,20,prim
61,488,20,prim
69,1639,20,prim
69,636,20,prim
69,1615,20,prim
69,1622,20,prim
69,954,20,prim
69,1661,20,prim
72,1124,20,prim
78,354,20,prim
79,951,20,prim
43,670,20,prim
43,805,20,prim
86,1037,20,prim
23,1562,20,prim
19,1609,20,prim
18,1693,20,prim
69,365,20,prim
79,1026,20,prim
69,986,20,prim
85,545,20,prim
29,585,20,prim
10,377,20,prim
10,378,20,prim
10,550,20,prim
16,584,20,prim
16,953,20,prim
8,712,20,prim
57,555,20,prim
1,576,20,prim
69,926,20,prim
66,996,20,prim
6,1053,20,prim
30,1202,20,prim
82,1549,20,prim
18,1581,20,prim
69,1608,20,prim
43,1650,20,prim
87,1568,20,prim
25,560,20,prim
62,594,20,prim
74,633,20,prim
79,641,20,prim
84,657,20,prim
9,942,20,prim
23,1602,20,prim
18,1619,20,prim
75,1649,20,prim
6,1660,20,prim
46,711,20,prim
69,357,20,prim
6,322,20,prim
25,1600,20,prim
85,1699,20,prim
36,1636,20,prim
86,1629,20,prim
64,1698,20,prim
22,1655,20,prim
30,857,19,prim
43,552,19,prim
85,721,19,prim
20,827,19,prim
20,1102,19,prim
86,1640,19,prim
19,1695,19,prim
15,343,19,prim
56,381,19,prim
61,393,19,prim
23,404,19,prim
43,465,19,prim
14,485,19,prim
8,508,19,prim
8,510,19,prim
30,522,19,prim
23,1682,19,prim
4,895,19,prim
30,1648,19,prim
75,1651,19,prim
64,1680,19,prim
48,1657,19,prim
43,1635,19,prim
62,1636,19,prim
23,764,19,prim
30,495,19,prim
55,1585,19,prim
56,1589,19,prim
14,1595,19,prim
