-----  v2 vs. pt  -------------------------------

=======(a) 200GeV 20-30%========================
  pt         v2       stat err   sys err
3.50e-01   3.84e-02   3.42e-04   6.33e-04
4.49e-01   5.08e-02   3.45e-04   1.05e-03
5.94e-01   6.66e-02   2.71e-04   1.37e-03
7.92e-01   8.60e-02   3.34e-04   1.65e-03
1.03e+00   1.07e-01   3.61e-04   2.06e-03
1.37e+00   1.32e-01   4.66e-04   2.55e-03
1.77e+00   1.58e-01   7.48e-04   3.00e-03
2.32e+00   1.83e-01   9.93e-04   3.58e-03
3.34e+00   1.89e-01   3.04e-03   4.36e-03
4.42e+00   1.68e-01   4.55e-03   6.78e-03
5.44e+00   1.36e-01   9.86e-03   5.57e-03
6.81e+00   1.32e-01   1.59e-02   5.57e-03
8.86e+00   1.71e-01   3.88e-02   5.57e-03

=======(b) 200GeV 30-40%========================
  pt         v2       stat err   sys err
3.50e-01   4.40e-02   4.59e-04   8.38e-04
4.49e-01   5.70e-02   4.61e-04   1.37e-03
5.94e-01   7.65e-02   3.63e-04   1.80e-03
7.92e-01   9.89e-02   4.48e-04   2.21e-03
1.03e+00   1.23e-01   4.86e-04   2.73e-03
1.37e+00   1.53e-01   6.30e-04   3.39e-03
1.77e+00   1.82e-01   1.01e-03   3.98e-03
2.32e+00   2.04e-01   1.34e-03   4.73e-03
3.34e+00   2.19e-01   4.03e-03   5.67e-03
4.42e+00   1.88e-01   5.81e-03   8.58e-03
5.44e+00   1.69e-01   1.26e-02   8.58e-03
6.81e+00   1.31e-01   2.03e-02   8.58e-03
8.86e+00   1.32e-01   4.93e-02   8.58e-03

=======(c) AuAu200GeV 50-60 %========================
  pt         v2       stat err   sys err
7.33e-01   9.95e-02   4.09e-04   5.01e-03
1.23e+00   1.48e-01   5.32e-04   7.44e-03
1.72e+00   1.84e-01   1.15e-03   9.18e-03
2.38e+00   2.04e-01   2.03e-03   1.02e-02
3.41e+00   2.13e-01   6.31e-03   1.02e-02

