-----------------v2 vs. pt -------------------------
 
=======(a) 200GeV pi 0-10%========================
  pt         v2       stat err   sys err
2.76e-01   1.44e-02   6.01e-04   6.32e-04
3.50e-01   2.19e-02   4.17e-04   9.60e-04
4.49e-01   2.90e-02   4.44e-04   1.27e-03
5.48e-01   3.67e-02   4.97e-04   1.61e-03
6.48e-01   4.31e-02   5.63e-04   1.89e-03
7.48e-01   4.99e-02   6.43e-04   2.18e-03
8.85e-01   5.97e-02   6.14e-04   2.61e-03
1.08e+00   6.85e-02   1.02e-03   3.00e-03
1.28e+00   7.82e-02   1.82e-03   3.42e-03
1.45e+00   8.43e-02   3.87e-03   3.69e-03
1.69e+00   9.24e-02   4.86e-03   4.04e-03
1.89e+00   8.32e-02   7.16e-03   3.64e-03
2.15e+00   1.04e-01   9.64e-03   4.55e-03
2.73e+00   8.30e-02   3.28e-02   3.64e-03

=======(b) 200GeV pi 10-20%========================
  pt         v2       stat err   sys err
2.76e-01   2.01e-02   6.33e-04   7.54e-04
3.50e-01   2.78e-02   4.34e-04   1.04e-03
4.49e-01   3.70e-02   4.60e-04   1.39e-03
5.48e-01   4.58e-02   5.13e-04   1.72e-03
6.48e-01   5.44e-02   5.80e-04   2.04e-03
7.48e-01   6.22e-02   6.62e-04   2.34e-03
8.85e-01   7.48e-02   6.31e-04   2.81e-03
1.08e+00   9.01e-02   1.07e-03   3.38e-03
1.28e+00   1.02e-01   1.91e-03   3.84e-03
1.45e+00   1.06e-01   4.05e-03   3.99e-03
1.69e+00   1.13e-01   4.99e-03   4.26e-03
1.89e+00   1.12e-01   7.39e-03   4.22e-03
2.15e+00   1.27e-01   1.01e-02   4.77e-03
2.73e+00   1.36e-01   3.41e-02   5.09e-03

=======(c) 200GeV pi 20-30%========================
  pt         v2       stat err   sys err
2.76e-01   2.38e-02   7.72e-04   8.95e-04
3.50e-01   3.16e-02   5.26e-04   1.19e-03
4.49e-01   4.26e-02   5.57e-04   1.60e-03
5.48e-01   5.32e-02   6.22e-04   2.00e-03
6.48e-01   6.36e-02   7.05e-04   2.39e-03
7.48e-01   7.40e-02   8.06e-04   2.78e-03
8.84e-01   8.71e-02   7.67e-04   3.27e-03
1.08e+00   1.03e-01   1.31e-03   3.86e-03
1.28e+00   1.19e-01   2.35e-03   4.48e-03
1.45e+00   1.25e-01   4.98e-03   4.69e-03
1.69e+00   1.40e-01   6.09e-03   5.26e-03
1.89e+00   1.31e-01   9.09e-03   4.90e-03
2.15e+00   1.23e-01   1.25e-02   4.63e-03
2.72e+00   1.81e-01   4.29e-02   6.79e-03

=======(d) 200GeV pi 30-40%========================
  pt         v2       stat err   sys err
2.76e-01   2.54e-02   1.06e-03   9.56e-04
3.50e-01   3.46e-02   7.22e-04   1.30e-03
4.49e-01   4.37e-02   7.63e-04   1.64e-03
5.48e-01   5.60e-02   8.54e-04   2.11e-03
6.48e-01   6.70e-02   9.70e-04   2.52e-03
7.48e-01   7.76e-02   1.11e-03   2.92e-03
8.84e-01   9.26e-02   1.06e-03   3.48e-03
1.08e+00   1.12e-01   1.83e-03   4.22e-03
1.28e+00   1.27e-01   3.28e-03   4.76e-03
1.45e+00   1.23e-01   6.96e-03   4.64e-03
1.69e+00   1.32e-01   8.35e-03   4.97e-03
1.88e+00   1.35e-01   1.26e-02   5.09e-03
2.15e+00   1.41e-01   1.77e-02   5.30e-03
2.73e+00   1.09e-01   6.08e-02   4.11e-03

=======(e) 200GeV pi 40-50%========================
  pt         v2       stat err   sys err
2.76e-01   2.61e-02   1.61e-03   9.89e-04
3.50e-01   3.33e-02   1.09e-03   1.26e-03
4.49e-01   4.56e-02   1.16e-03   1.73e-03
5.48e-01   5.49e-02   1.30e-03   2.08e-03
6.48e-01   6.20e-02   1.47e-03   2.35e-03
7.48e-01   7.82e-02   1.70e-03   2.96e-03
8.84e-01   9.17e-02   1.63e-03   3.48e-03
1.08e+00   1.11e-01   2.82e-03   4.22e-03
1.28e+00   1.26e-01   5.08e-03   4.79e-03
1.45e+00   1.38e-01   1.08e-02   5.23e-03
1.69e+00   1.51e-01   1.30e-02   5.71e-03
1.88e+00   1.40e-01   1.97e-02   5.30e-03
2.15e+00   1.91e-01   2.80e-02   7.23e-03
2.73e+00   1.78e-01   9.57e-02   6.73e-03

=======(a) 200GeV k 0-10%========================
  pt         v2       stat err   sys err
3.62e-01   1.25e-02   3.87e-03   7.42e-04
4.55e-01   1.75e-02   2.46e-03   1.04e-03
5.52e-01   2.37e-02   2.02e-03   1.41e-03
7.02e-01   3.42e-02   1.30e-03   2.03e-03
8.90e-01   4.65e-02   1.46e-03   2.76e-03
1.08e+00   5.78e-02   2.20e-03   3.43e-03
1.43e+00   6.80e-02   3.74e-03   4.03e-03
2.02e+00   8.22e-02   9.03e-03   4.87e-03

=======(b) 200GeV k 10-20%========================
  pt         v2       stat err   sys err
3.62e-01   2.14e-02   4.09e-03   1.17e-03
4.55e-01   2.61e-02   2.57e-03   1.43e-03
5.52e-01   3.09e-02   2.11e-03   1.69e-03
7.02e-01   4.60e-02   1.37e-03   2.52e-03
8.90e-01   6.43e-02   1.53e-03   3.53e-03
1.08e+00   7.64e-02   2.30e-03   4.19e-03
1.43e+00   9.52e-02   3.90e-03   5.22e-03
2.02e+00   1.16e-01   9.14e-03   6.34e-03

=======(c) 200GeV k 20-30%========================
  pt         v2       stat err   sys err
3.63e-01   2.20e-02   5.01e-03   1.21e-03
4.55e-01   3.21e-02   3.13e-03   1.76e-03
5.52e-01   3.52e-02   2.59e-03   1.93e-03
7.02e-01   5.44e-02   1.68e-03   2.98e-03
8.91e-01   7.07e-02   1.88e-03   3.88e-03
1.08e+00   8.64e-02   2.82e-03   4.74e-03
1.44e+00   1.03e-01   4.82e-03   5.62e-03
2.02e+00   1.13e-01   1.10e-02   6.18e-03

=======(d) 200GeV k 30-40%========================
  pt         v2       stat err   sys err
3.63e-01   2.44e-02   6.92e-03   1.34e-03
4.55e-01   2.27e-02   4.30e-03   1.25e-03
5.52e-01   3.79e-02   3.58e-03   2.08e-03
7.02e-01   5.36e-02   2.34e-03   2.94e-03
8.91e-01   7.61e-02   2.62e-03   4.18e-03
1.08e+00   9.00e-02   3.92e-03   4.95e-03
1.44e+00   1.14e-01   6.72e-03   6.27e-03
2.03e+00   1.45e-01   1.50e-02   7.95e-03

=======(e) 200GeV k 40-50%========================
  pt         v2       stat err   sys err
3.63e-01   2.84e-02   1.06e-02   1.57e-03
4.55e-01   3.45e-02   6.58e-03   1.90e-03
5.52e-01   4.62e-02   5.49e-03   2.55e-03
7.01e-01   6.49e-02   3.62e-03   3.58e-03
8.90e-01   7.12e-02   4.07e-03   3.92e-03
1.08e+00   8.34e-02   6.08e-03   4.60e-03
1.44e+00   9.61e-02   1.05e-02   5.29e-03
2.04e+00   1.04e-01   2.29e-02   5.73e-03

=======(a) 200GeV p 0-10%========================
  pt         v2       stat err   sys err
5.55e-01   1.11e-02   2.33e-03   7.54e-04
6.52e-01   1.90e-02   1.94e-03   1.29e-03
7.51e-01   2.18e-02   1.80e-03   1.48e-03
8.99e-01   3.35e-02   1.26e-03   2.28e-03
1.10e+00   4.79e-02   1.35e-03   3.26e-03
1.29e+00   6.08e-02   1.59e-03   4.13e-03
1.49e+00   7.62e-02   2.13e-03   5.18e-03
1.69e+00   7.96e-02   3.15e-03   5.41e-03
1.88e+00   9.39e-02   5.10e-03   6.38e-03
2.20e+00   9.96e-02   7.42e-03   6.77e-03
2.82e+00   1.01e-01   1.23e-02   6.84e-03

=======(b) 200GeV p 10-20%========================
  pt         v2       stat err   sys err
5.55e-01   1.73e-02   2.36e-03   1.11e-03
6.52e-01   2.09e-02   1.96e-03   1.34e-03
7.51e-01   3.08e-02   1.84e-03   1.97e-03
8.99e-01   4.62e-02   1.30e-03   2.96e-03
1.10e+00   6.30e-02   1.40e-03   4.04e-03
1.29e+00   8.39e-02   1.66e-03   5.38e-03
1.49e+00   1.02e-01   2.23e-03   6.51e-03
1.69e+00   1.09e-01   3.30e-03   6.99e-03
1.88e+00   1.16e-01   5.31e-03   7.43e-03
2.20e+00   1.45e-01   7.77e-03   9.31e-03
2.82e+00   1.26e-01   1.27e-02   8.07e-03

=======(c) 200GeV p 20-30%========================
  pt         v2       stat err   sys err
5.55e-01   2.12e-02   2.80e-03   1.36e-03
6.52e-01   3.06e-02   2.34e-03   1.96e-03
7.50e-01   4.18e-02   2.21e-03   2.68e-03
8.98e-01   5.52e-02   1.57e-03   3.54e-03
1.10e+00   7.82e-02   1.72e-03   5.01e-03
1.29e+00   9.71e-02   2.05e-03   6.22e-03
1.49e+00   1.15e-01   2.76e-03   7.38e-03
1.69e+00   1.30e-01   4.09e-03   8.31e-03
1.88e+00   1.43e-01   6.57e-03   9.15e-03
2.20e+00   1.42e-01   9.74e-03   9.11e-03
2.83e+00   1.77e-01   1.57e-02   1.14e-02

=======(d) 200GeV p 30-40%========================
  pt         v2       stat err   sys err
5.55e-01   2.78e-02   3.71e-03   1.78e-03
6.51e-01   3.49e-02   3.12e-03   2.24e-03
7.50e-01   4.64e-02   2.98e-03   2.98e-03
8.98e-01   6.55e-02   2.15e-03   4.20e-03
1.10e+00   8.31e-02   2.38e-03   5.33e-03
1.29e+00   1.05e-01   2.87e-03   6.74e-03
1.49e+00   1.23e-01   3.87e-03   7.88e-03
1.69e+00   1.39e-01   5.73e-03   8.95e-03
1.88e+00   1.39e-01   9.19e-03   8.91e-03
2.20e+00   1.57e-01   1.38e-02   1.00e-02
2.84e+00   1.65e-01   2.20e-02   1.06e-02

=======(e) 200GeV p 40-50%========================
  pt         v2       stat err   sys err
5.55e-01   3.14e-02   5.49e-03   2.02e-03
6.51e-01   3.59e-02   4.67e-03   2.31e-03
7.50e-01   4.97e-02   4.49e-03   3.19e-03
8.97e-01   6.33e-02   3.29e-03   4.07e-03
1.10e+00   8.73e-02   3.68e-03   5.61e-03
1.29e+00   1.13e-01   4.49e-03   7.29e-03
1.49e+00   1.32e-01   6.08e-03   8.48e-03
1.69e+00   1.38e-01   9.04e-03   8.88e-03
1.88e+00   1.37e-01   1.44e-02   8.79e-03
2.20e+00   1.49e-01   2.19e-02   9.61e-03
2.84e+00   1.37e-01   3.47e-02   8.82e-03

