-----  v2 vs. pt  -------------------------------

=======(a) 200GeV pi 0-10%======================
  pT         v2       stat err   sys err
2.51e-01   1.34e-02   3.84e-04   5.39e-04
3.49e-01   1.72e-02   3.98e-04   8.68e-04
4.48e-01   2.27e-02   4.43e-04   1.15e-03
5.48e-01   2.72e-02   5.07e-04   1.42e-03
6.47e-01   3.38e-02   5.89e-04   1.74e-03
7.47e-01   3.65e-02   6.85e-04   1.91e-03
8.47e-01   4.15e-02   8.01e-04   2.18e-03
9.47e-01   4.66e-02   9.42e-04   2.54e-03
1.09e+00   5.20e-02   8.36e-04   2.89e-03
1.29e+00   5.91e-02   1.13e-03   3.27e-03
1.49e+00   6.37e-02   1.51e-03   3.53e-03
1.69e+00   6.80e-02   2.06e-03   3.76e-03
1.89e+00   7.64e-02   2.95e-03   4.29e-03
2.16e+00   7.24e-02   3.70e-03   4.10e-03
2.66e+00   9.18e-02   1.24e-02   5.23e-03
3.24e+00   7.29e-02   3.53e-02   9.02e-03

=======(a) 200GeV pi 10-20%=====================
  pT         v2       stat err   sys err
2.51e-01   2.40e-02   2.72e-04   8.99e-04
3.48e-01   3.11e-02   2.85e-04   1.25e-03
4.48e-01   3.90e-02   3.19e-04   1.63e-03
5.48e-01   4.84e-02   3.65e-04   2.04e-03
6.47e-01   5.69e-02   4.23e-04   2.39e-03
7.48e-01   6.61e-02   4.92e-04   2.79e-03
8.47e-01   7.41e-02   5.75e-04   3.15e-03
9.47e-01   8.24e-02   6.75e-04   3.54e-03
1.09e+00   9.12e-02   5.98e-04   3.92e-03
1.29e+00   1.05e-01   8.04e-04   4.41e-03
1.49e+00   1.15e-01   1.07e-03   4.90e-03
1.69e+00   1.25e-01   1.45e-03   5.33e-03
1.89e+00   1.29e-01   2.08e-03   5.42e-03
2.16e+00   1.34e-01   2.60e-03   5.81e-03
2.66e+00   1.36e-01   8.72e-03   5.90e-03
3.24e+00   1.23e-01   2.43e-02   7.66e-03

=======(a) 200GeV pi 20-30%=====================
  pT         v2       stat err   sys err
2.50e-01   2.88e-02   2.96e-04   9.47e-04
3.48e-01   4.02e-02   3.14e-04   1.45e-03
4.48e-01   5.18e-02   3.52e-04   1.90e-03
5.48e-01   6.43e-02   4.03e-04   2.40e-03
6.47e-01   7.52e-02   4.68e-04   2.86e-03
7.48e-01   8.73e-02   5.45e-04   3.23e-03
8.47e-01   9.82e-02   6.36e-04   3.65e-03
9.47e-01   1.08e-01   7.47e-04   4.04e-03
1.09e+00   1.20e-01   6.61e-04   4.51e-03
1.29e+00   1.36e-01   8.88e-04   5.06e-03
1.49e+00   1.50e-01   1.18e-03   5.54e-03
1.69e+00   1.56e-01   1.59e-03   5.86e-03
1.89e+00   1.64e-01   2.27e-03   6.25e-03
2.16e+00   1.68e-01   2.87e-03   6.40e-03
2.66e+00   1.74e-01   9.65e-03   7.10e-03
3.24e+00   1.40e-01   2.69e-02   6.20e-03

=======(b) 200GeV k 0-10%=======================
  pT         v2       stat err   sys err
3.53e-01   1.13e-02   3.08e-03   9.37e-04
4.53e-01   1.11e-02   2.51e-03   7.28e-04
5.52e-01   1.39e-02   2.19e-03   9.38e-04
6.51e-01   1.96e-02   2.05e-03   1.29e-03
7.50e-01   2.51e-02   2.05e-03   1.45e-03
8.49e-01   3.49e-02   2.13e-03   1.70e-03
9.49e-01   3.75e-02   2.28e-03   2.06e-03
1.09e+00   4.44e-02   1.83e-03   2.34e-03
1.29e+00   5.28e-02   2.21e-03   2.76e-03
1.49e+00   5.65e-02   2.71e-03   3.22e-03
1.69e+00   6.73e-02   3.39e-03   3.81e-03
1.89e+00   7.30e-02   4.57e-03   3.43e-03
2.17e+00   8.19e-02   5.30e-03   4.56e-03
2.65e+00   7.51e-02   1.56e-02   5.39e-03

=======(b) 200GeV k 10-20%======================
  pT         v2       stat err   sys err
3.55e-01   1.70e-02   2.31e-03   6.65e-04
4.53e-01   2.45e-02   1.82e-03   1.16e-03
5.52e-01   2.80e-02   1.58e-03   1.25e-03
6.51e-01   3.63e-02   1.48e-03   1.63e-03
7.50e-01   4.72e-02   1.48e-03   2.10e-03
8.49e-01   5.80e-02   1.54e-03   2.23e-03
9.49e-01   6.84e-02   1.64e-03   2.92e-03
1.09e+00   7.82e-02   1.31e-03   3.42e-03
1.29e+00   9.55e-02   1.59e-03   3.96e-03
1.49e+00   1.06e-01   1.95e-03   4.77e-03
1.69e+00   1.18e-01   2.43e-03   5.07e-03
1.89e+00   1.18e-01   3.24e-03   5.56e-03
2.17e+00   1.34e-01   3.72e-03   5.73e-03
2.65e+00   1.20e-01   1.08e-02   6.07e-03

=======(b) 200GeV k 20-30%======================
  pT         v2       stat err   sys err
3.56e-01   2.77e-02   2.62e-03   8.90e-04
4.53e-01   2.69e-02   2.02e-03   9.40e-04
5.52e-01   3.90e-02   1.75e-03   1.54e-03
6.51e-01   5.33e-02   1.64e-03   2.12e-03
7.50e-01   6.59e-02   1.65e-03   2.47e-03
8.49e-01   7.60e-02   1.71e-03   2.91e-03
9.49e-01   8.95e-02   1.83e-03   3.41e-03
1.09e+00   1.02e-01   1.46e-03   3.89e-03
1.29e+00   1.19e-01   1.77e-03   4.52e-03
1.49e+00   1.36e-01   2.17e-03   5.16e-03
1.69e+00   1.50e-01   2.70e-03   5.64e-03
1.89e+00   1.55e-01   3.57e-03   6.06e-03
2.17e+00   1.67e-01   4.06e-03   6.38e-03
2.65e+00   1.54e-01   1.17e-02   6.97e-03

=======(c) 200GeV p 0-10%=======================
  pT         v2       stat err   sys err
6.51e-01   5.01e-03   2.36e-03   7.51e-04
7.51e-01   7.71e-03   2.22e-03   1.47e-03
8.50e-01   1.39e-02   2.16e-03   1.70e-03
9.50e-01   2.26e-02   2.17e-03   3.30e-03
1.10e+00   2.84e-02   1.60e-03   4.03e-03
1.30e+00   3.93e-02   1.77e-03   5.47e-03
1.49e+00   5.30e-02   2.05e-03   6.53e-03
1.69e+00   6.35e-02   2.47e-03   3.30e-03
1.89e+00   6.90e-02   3.07e-03   3.46e-03
2.20e+00   8.23e-02   2.85e-03   4.29e-03
2.70e+00   9.44e-02   5.27e-03   5.27e-03
3.28e+00   1.04e-01   9.46e-03   7.36e-03

=======(c) 200GeV p 10-20%======================
  pT         v2       stat err   sys err
5.52e-01   1.33e-02   1.82e-03   1.01e-03
6.51e-01   1.55e-02   1.65e-03   1.51e-03
7.51e-01   2.39e-02   1.56e-03   2.31e-03
8.50e-01   2.83e-02   1.53e-03   3.43e-03
9.50e-01   3.97e-02   1.54e-03   5.28e-03
1.10e+00   5.19e-02   1.14e-03   6.22e-03
1.30e+00   7.43e-02   1.27e-03   9.12e-03
1.49e+00   9.61e-02   1.48e-03   1.11e-02
1.69e+00   1.14e-01   1.79e-03   4.71e-03
1.89e+00   1.28e-01   2.22e-03   5.25e-03
2.20e+00   1.50e-01   2.05e-03   6.08e-03
2.70e+00   1.64e-01   3.76e-03   7.65e-03
3.28e+00   1.89e-01   6.59e-03   8.97e-03

=======(c) 200GeV p 20-30%======================
  pT         v2       stat err   sys err
5.52e-01   1.78e-02   1.95e-03   1.88e-03
6.51e-01   2.61e-02   1.78e-03   3.06e-03
7.51e-01   3.75e-02   1.69e-03   4.27e-03
8.50e-01   4.46e-02   1.66e-03   5.68e-03
9.50e-01   5.78e-02   1.68e-03   6.76e-03
1.10e+00   7.82e-02   1.25e-03   8.77e-03
1.30e+00   1.06e-01   1.41e-03   1.23e-02
1.49e+00   1.30e-01   1.66e-03   1.48e-02
1.69e+00   1.51e-01   2.01e-03   5.55e-03
1.89e+00   1.69e-01   2.49e-03   6.35e-03
2.20e+00   1.89e-01   2.30e-03   7.05e-03
2.70e+00   2.25e-01   4.19e-03   8.15e-03
3.29e+00   2.31e-01   7.26e-03   8.66e-03

