=============(a) 200GeV pi- 0 ~ 92 %=================
  pT         v2       stat err   sys err
2.50e-01   2.40e-02   3.32e-04   9.16e-04
3.48e-01   3.31e-02   3.51e-04   1.40e-03
4.48e-01   4.22e-02   3.90e-04   1.85e-03
5.48e-01   5.35e-02   4.41e-04   2.34e-03
6.47e-01   6.27e-02   5.08e-04   2.78e-03
7.48e-01   7.08e-02   5.84e-04   3.17e-03
8.47e-01   8.01e-02   6.77e-04   3.57e-03
9.47e-01   8.88e-02   7.93e-04   3.98e-03
1.09e+00   9.79e-02   6.97e-04   4.47e-03
1.29e+00   1.12e-01   9.33e-04   5.03e-03

=============(a) 200GeV pi+ 0 ~ 92 %=================
  pT         v2       stat err   sys err
2.51e-01   2.37e-02   3.27e-04   9.10e-04
3.49e-01   3.27e-02   3.32e-04   1.42e-03
4.48e-01   4.29e-02   3.65e-04   1.90e-03
5.48e-01   5.31e-02   4.15e-04   2.37e-03
6.47e-01   6.29e-02   4.78e-04   2.82e-03
7.47e-01   7.26e-02   5.53e-04   3.23e-03
8.47e-01   8.07e-02   6.43e-04   3.62e-03
9.47e-01   8.91e-02   7.53e-04   4.02e-03
1.09e+00   9.93e-02   6.65e-04   4.46e-03
1.29e+00   1.12e-01   8.94e-04   5.02e-03

=============(b) 200GeV k- 0 ~ 92 %=================
  pT         v2       stat err   sys err
3.55e-01   2.17e-02   2.86e-03   8.55e-04
4.53e-01   2.22e-02   2.27e-03   1.17e-03
5.52e-01   3.01e-02   1.93e-03   1.49e-03
6.51e-01   4.24e-02   1.79e-03   2.03e-03
7.50e-01   5.05e-02   1.76e-03   2.41e-03
8.49e-01   6.29e-02   1.82e-03   2.76e-03
9.49e-01   7.37e-02   1.93e-03   3.31e-03
1.09e+00   8.38e-02   1.54e-03   3.79e-03
1.29e+00   9.69e-02   1.83e-03   4.39e-03
1.49e+00   1.09e-01   2.24e-03   5.09e-03

=============(b) 200GeV k+ 0 ~ 92 %=================
  pT         v2       stat err   sys err
3.55e-01   1.70e-02   2.52e-03   8.66e-04
4.53e-01   2.45e-02   1.99e-03   1.12e-03
5.52e-01   3.42e-02   1.72e-03   1.55e-03
6.50e-01   4.24e-02   1.60e-03   1.95e-03
7.50e-01   5.31e-02   1.59e-03   2.37e-03
8.49e-01   6.40e-02   1.64e-03   2.90e-03
9.49e-01   7.25e-02   1.74e-03   3.23e-03
1.09e+00   8.30e-02   1.39e-03   3.88e-03
1.29e+00   9.92e-02   1.67e-03   4.50e-03
1.49e+00   1.08e-01   2.06e-03   4.86e-03

=============(c) 200GeV pbar 0 ~ 92 %=================
  pT         v2       stat err   sys err
5.53e-01   1.41e-02   2.78e-03   1.57e-03
6.51e-01   2.31e-02   2.40e-03   2.81e-03
7.51e-01   3.05e-02   2.17e-03   3.38e-03
8.50e-01   3.84e-02   2.06e-03   4.79e-03
9.50e-01   5.31e-02   2.02e-03   6.37e-03
1.10e+00   6.44e-02   1.46e-03   7.80e-03
1.30e+00   8.62e-02   1.58e-03   1.06e-02
1.49e+00   1.05e-01   1.80e-03   1.27e-02
1.69e+00   1.20e-01   2.15e-03   5.45e-03
1.89e+00   1.34e-01   2.64e-03   6.02e-03

=============(c) 200GeV p 0 ~ 92 %=================
  pT         v2       stat err   sys err
5.52e-01   2.13e-02   1.99e-03   2.50e-03
6.51e-01   2.59e-02   1.80e-03   2.71e-03
7.50e-01   3.28e-02   1.67e-03   4.15e-03
8.50e-01   4.07e-02   1.60e-03   5.18e-03
9.50e-01   5.15e-02   1.59e-03   6.43e-03
1.10e+00   6.67e-02   1.15e-03   8.22e-03
1.30e+00   8.80e-02   1.27e-03   1.10e-02
1.49e+00   1.06e-01   1.46e-03   1.33e-02
1.69e+00   1.23e-01   1.75e-03   5.49e-03
1.89e+00   1.37e-01   2.16e-03   6.18e-03

