=============(d) 62.4GeV pi- 10 ~ 40 %=================
  pT         v2       stat err   sys err
2.59e-01   2.46e-02   1.73e-03   7.38e-04
3.52e-01   3.44e-02   1.34e-03   1.03e-03
4.50e-01   4.67e-02   1.31e-03   1.40e-03
5.49e-01   5.90e-02   1.39e-03   1.77e-03
6.48e-01   7.38e-02   1.56e-03   2.21e-03
7.48e-01   7.76e-02   1.76e-03   2.33e-03
8.90e-01   9.33e-02   1.59e-03   2.80e-03
1.09e+00   1.09e-01   4.81e-03   3.28e-03
1.45e+00   1.30e-01   4.73e-03   3.91e-03
2.20e+00   1.61e-01   2.13e-02   4.84e-03

=============(d) 62.4GeV pi+ 10 ~ 40 %=================
  pT         v2       stat err   sys err
2.60e-01   2.55e-02   1.52e-03   7.64e-04
3.51e-01   3.49e-02   1.18e-03   1.05e-03
4.49e-01   4.76e-02   1.20e-03   1.43e-03
5.48e-01   5.95e-02   1.32e-03   1.78e-03
6.48e-01   7.21e-02   1.50e-03   2.16e-03
7.48e-01   8.32e-02   1.72e-03   2.49e-03
8.90e-01   9.67e-02   1.56e-03   2.90e-03
1.09e+00   1.18e-01   4.45e-03   3.55e-03
1.44e+00   1.37e-01   4.41e-03   4.11e-03
2.20e+00   1.64e-01   2.04e-02   4.91e-03

=============(e) 62.4GeV k- 10 ~ 40 %=================
  pT         v2       stat err   sys err
4.27e-01   1.89e-02   6.37e-03   8.65e-04
6.06e-01   4.20e-02   4.15e-03   1.92e-03
7.50e-01   6.40e-02   5.48e-03   2.93e-03
8.97e-01   7.14e-02   4.03e-03   3.27e-03
1.09e+00   8.93e-02   4.80e-03   4.09e-03
1.48e+00   1.12e-01   9.58e-03   5.12e-03
2.22e+00   1.98e-01   3.32e-02   9.07e-03

=============(e) 62.4GeV k+ 10 ~ 40 %=================
  pT         v2       stat err   sys err
4.30e-01   2.29e-02   6.06e-03   1.05e-03
6.06e-01   4.74e-02   4.00e-03   2.17e-03
7.50e-01   5.70e-02   5.15e-03   2.61e-03
8.98e-01   7.98e-02   3.78e-03   3.66e-03
1.09e+00   1.04e-01   4.46e-03   4.74e-03
1.48e+00   1.20e-01   7.92e-03   5.50e-03
2.22e+00   1.40e-01   2.77e-02   6.40e-03

=============(f) 62.4GeV pbar 10 ~ 40 %=================
  pT         v2       stat err   sys err
6.11e-01   1.52e-02   5.18e-03   9.73e-04
7.51e-01   4.61e-02   6.32e-03   2.95e-03
8.99e-01   5.72e-02   4.43e-03   3.66e-03
1.10e+00   8.21e-02   4.70e-03   5.26e-03
1.49e+00   1.33e-01   8.58e-03   8.54e-03
2.37e+00   1.72e-01   2.08e-02   1.10e-02

=============(f) 62.4GeV p 10 ~ 40 %=================
  pT         v2       stat err   sys err
6.15e-01   2.59e-02   3.59e-03   1.66e-03
7.51e-01   4.51e-02   4.24e-03   2.89e-03
8.99e-01   6.47e-02   2.99e-03   4.14e-03
1.10e+00   8.74e-02   3.24e-03   5.59e-03
1.49e+00   1.34e-01   5.33e-03   8.56e-03
2.36e+00   1.81e-01   1.31e-02   1.16e-02

