Fig6

=======200GeV 0~10%========================
pT         v2         stat err   sys err
3.50e-01   1.76e-02   3.75e-04   4.46e-04
4.49e-01   2.20e-02   3.85e-04   7.80e-04
5.94e-01   2.89e-02   3.06e-04   9.93e-04
7.92e-01   3.62e-02   3.79e-04   1.22e-03
1.03e+00   4.58e-02   4.12e-04   1.48e-03
1.37e+00   5.75e-02   5.32e-04   1.83e-03
1.77e+00   7.13e-02   8.59e-04   2.15e-03
2.32e+00   7.97e-02   1.16e-03   2.56e-03
3.34e+00   9.03e-02   3.72e-03   3.11e-03
4.41e+00   8.21e-02   6.28e-03   6.99e-03
5.43e+00   6.66e-02   1.38e-02   6.99e-03
6.81e+00   7.64e-02   2.16e-02   6.99e-03
8.87e+00   6.23e-02   5.36e-02   6.99e-03

=======200GeV 10~20%========================
pT         v2         stat err   sys err
3.50e-01   2.96e-02   3.02e-04   6.33e-04
4.49e-01   3.84e-02   3.06e-04   1.05e-03
5.94e-01   5.05e-02   2.42e-04   1.37e-03
7.92e-01   6.53e-02   2.97e-04   1.65e-03
1.03e+00   8.12e-02   3.22e-04   2.06e-03
1.37e+00   1.01e-01   4.15e-04   2.55e-03
1.77e+00   1.24e-01   6.67e-04   3.00e-03
2.32e+00   1.41e-01   8.91e-04   3.58e-03
3.34e+00   1.50e-01   2.79e-03   4.36e-03
4.42e+00   1.25e-01   4.32e-03   6.78e-03
5.43e+00   9.94e-02   9.51e-03   5.57e-03
6.81e+00   1.05e-01   1.53e-02   5.57e-03
8.86e+00   8.96e-02   3.68e-02   5.57e-03
1.09e+01   4.46e-02   7.15e-02   5.57e-03

=======200GeV 20~30%========================
pT         v2         stat err   sys err
3.50e-01   3.84e-02   3.42e-04   8.38e-04
4.49e-01   5.08e-02   3.45e-04   1.37e-03
5.94e-01   6.66e-02   2.71e-04   1.80e-03
7.92e-01   8.60e-02   3.34e-04   2.21e-03
1.03e+00   1.07e-01   3.61e-04   2.73e-03
1.37e+00   1.32e-01   4.66e-04   3.39e-03
1.77e+00   1.58e-01   7.48e-04   3.98e-03
2.32e+00   1.83e-01   9.93e-04   4.73e-03
3.34e+00   1.89e-01   3.04e-03   5.67e-03
4.42e+00   1.68e-01   4.55e-03   8.58e-03
5.44e+00   1.36e-01   9.86e-03   8.58e-03
6.81e+00   1.32e-01   1.59e-02   8.58e-03
8.86e+00   1.71e-01   3.88e-02   8.58e-03

=======200GeV 30~40%========================
pT         v2         stat err   sys err
3.50e-01   4.40e-02   4.59e-04   1.03e-03
4.49e-01   5.70e-02   4.61e-04   1.64e-03
5.94e-01   7.65e-02   3.63e-04   2.18e-03
7.92e-01   9.89e-02   4.48e-04   2.67e-03
1.03e+00   1.23e-01   4.86e-04   3.32e-03
1.37e+00   1.53e-01   6.30e-04   4.12e-03
1.77e+00   1.82e-01   1.01e-03   4.83e-03
2.32e+00   2.04e-01   1.34e-03   5.73e-03
3.34e+00   2.19e-01   4.03e-03   6.80e-03
4.42e+00   1.88e-01   5.81e-03   9.40e-03
5.44e+00   1.69e-01   1.26e-02   9.40e-03
6.81e+00   1.31e-01   2.03e-02   9.40e-03
8.86e+00   1.32e-01   4.93e-02   9.40e-03

=======200GeV 40~50%========================
pT         v2         stat err   sys err
3.50e-01   4.85e-02   7.19e-04   1.19e-03
4.49e-01   6.35e-02   7.22e-04   1.98e-03
5.94e-01   8.42e-02   5.71e-04   2.62e-03
7.92e-01   1.09e-01   7.07e-04   3.24e-03
1.03e+00   1.36e-01   7.75e-04   4.04e-03
1.37e+00   1.66e-01   1.01e-03   5.03e-03
1.77e+00   1.95e-01   1.64e-03   5.89e-03
2.32e+00   2.15e-01   2.16e-03   6.95e-03
3.34e+00   2.29e-01   6.40e-03   8.11e-03
4.42e+00   1.84e-01   8.77e-03   9.42e-03
5.44e+00   1.71e-01   1.87e-02   9.42e-03
6.81e+00   1.31e-01   2.97e-02   9.42e-03
8.86e+00   1.03e-01   7.61e-02   9.42e-03

=======200GeV 50~60%========================
pT         v2         stat err   sys err
7.33e-01   9.95e-02   4.09e-04   5.01e-03
1.23e+00   1.48e-01   5.32e-04   7.44e-03
1.72e+00   1.84e-01   1.15e-03   9.18e-03
2.38e+00   2.04e-01   2.03e-03   1.02e-02
3.41e+00   2.13e-01   6.31e-03   1.02e-02
4.42e+00   1.48e-01   1.59e-02   1.02e-02
5.76e+00   1.55e-01   2.96e-02   1.02e-02

=======200GeV 60~70%========================
pT         v2         stat err   sys err
7.32e-01   9.14e-02   9.20e-04   4.60e-03
1.23e+00   1.40e-01   1.18e-03   7.01e-03
1.72e+00   1.74e-01   2.60e-03   8.85e-03
2.37e+00   1.78e-01   4.57e-03   9.11e-03
3.41e+00   2.15e-01   1.40e-02   9.11e-03
4.43e+00   1.27e-01   3.48e-02   9.11e-03
5.77e+00   1.38e-01   6.43e-02   9.11e-03

=======200GeV 0~20%========================
pT         v2         stat err   sys err
7.35e-01   4.40e-02   7.91e-05   2.20e-03
1.23e+00   6.37e-02   1.09e-04   3.19e-03
1.72e+00   8.48e-02   2.25e-04   4.39e-03
2.22e+00   1.02e-01   4.57e-04   5.19e-03
2.72e+00   1.13e-01   8.81e-04   5.67e-03
3.22e+00   1.17e-01   1.62e-03   5.88e-03
3.73e+00   1.12e-01   2.80e-03   6.21e-03
4.23e+00   1.04e-01   4.57e-03   5.81e-03
4.73e+00   1.01e-01   7.07e-03   5.08e-03
5.43e+00   8.28e-02   8.44e-03   4.55e-03
6.45e+00   9.69e-02   1.57e-02   4.55e-03
7.84e+00   7.50e-02   2.16e-02   4.55e-03
9.89e+00   9.59e-02   4.71e-02   4.55e-03

=======200GeV 20~40%========================
pT         v2         stat err   sys err
7.35e-01   8.32e-02   8.44e-05   4.17e-03
1.23e+00   1.24e-01   1.11e-04   6.21e-03
1.72e+00   1.60e-01   2.32e-04   8.10e-03
2.22e+00   1.86e-01   4.66e-04   9.34e-03
2.72e+00   1.98e-01   8.79e-04   9.93e-03
3.22e+00   1.98e-01   1.57e-03   9.96e-03
3.73e+00   1.91e-01   2.66e-03   9.63e-03
4.23e+00   1.83e-01   4.30e-03   9.33e-03
4.73e+00   1.61e-01   6.58e-03   8.13e-03
5.23e+00   1.60e-01   9.54e-03   8.30e-03
5.74e+00   1.30e-01   1.35e-02   7.40e-03
6.45e+00   1.42e-01   1.47e-02   7.40e-03
7.46e+00   1.04e-01   2.39e-02   7.40e-03
8.86e+00   1.54e-01   3.06e-02   7.40e-03

=======200GeV 40~60%========================
pT         v2         stat err   sys err
7.34e-01   9.86e-02   2.04e-04   4.96e-03
1.23e+00   1.49e-01   2.66e-04   7.45e-03
1.72e+00   1.87e-01   5.67e-04   9.33e-03
2.22e+00   2.09e-01   1.14e-03   1.04e-02
2.72e+00   2.17e-01   2.11e-03   1.09e-02
3.23e+00   2.16e-01   3.69e-03   1.09e-02
3.73e+00   2.13e-01   6.11e-03   1.07e-02
4.42e+00   1.70e-01   8.08e-03   8.55e-03
5.44e+00   1.72e-01   1.72e-02   8.55e-03
6.81e+00   1.10e-01   2.75e-02   8.55e-03
8.86e+00   7.41e-02   7.08e-02   8.55e-03

=======200GeV 60~92%========================
pT         v2         stat err   sys err
7.32e-01   8.68e-02   1.22e-03   4.35e-03
1.23e+00   1.34e-01   1.51e-03   6.86e-03
1.72e+00   1.66e-01   3.28e-03   8.63e-03
2.22e+00   1.70e-01   6.56e-03   8.52e-03
2.72e+00   2.00e-01   1.21e-02   8.52e-03
3.41e+00   1.93e-01   1.76e-02   8.52e-03
4.71e+00   1.92e-01   3.95e-02   8.52e-03

=======200GeV MinimumBias==================
pT         v2         stat err   sys err
2.50e-01   1.97e-02   6.77e-05   7.51e-04
3.50e-01   3.29e-02   6.40e-05   1.26e-03
4.50e-01   4.33e-02   6.53e-05   1.65e-03
5.50e-01   5.31e-02   7.02e-05   2.03e-03
7.00e-01   6.58e-02   5.79e-05   2.51e-03
9.00e-01   8.15e-02   7.26e-05   3.11e-03
1.10e+00   9.56e-02   9.16e-05   3.65e-03
1.40e+00   1.13e-01   9.14e-05   4.33e-03
1.80e+00   1.36e-01   1.46e-04   5.20e-03
2.25e+00   1.54e-01   2.21e-04   5.88e-03
2.75e+00   1.65e-01   3.99e-04   6.39e-03
3.50e+00   1.63e-01   5.96e-04   1.03e-02
4.23e+00   1.43e-01   3.80e-03   7.37e-03
4.73e+00   1.33e-01   5.92e-03   6.70e-03
5.44e+00   1.26e-01   7.07e-03   6.71e-03
6.45e+00   1.29e-01   1.30e-02   1.02e-02
7.46e+00   1.20e-01   2.11e-02   7.01e-03
8.46e+00   1.16e-01   3.16e-02   7.01e-03
9.47e+00   1.01e-01   4.52e-02   7.01e-03
1.09e+01   1.14e-01   4.95e-02   7.01e-03
1.29e+01   1.68e-01   7.93e-02   7.01e-03

