=======62GeV 0.2-1.0 GeV/c========================
  Cent        v2      stat err   sys err
5.00e+00   2.56e-02   5.57e-04   1.09e-03
1.50e+01   4.58e-02   4.49e-04   1.43e-03
2.50e+01   6.13e-02   5.53e-04   1.94e-03
3.50e+01   6.89e-02   7.85e-04   5.14e-03
4.50e+01   7.30e-02   1.39e-03   5.64e-03
5.50e+01   6.59e-02   2.84e-03   5.07e-03

=======62GeV 1.0-2.0 GeV/c========================
  Cent        v2      stat err   sys err
5.00e+00   5.48e-02   1.23e-03   3.00e-03
1.50e+01   9.85e-02   9.90e-04   4.60e-03
2.50e+01   1.32e-01   1.23e-03   6.21e-03
3.50e+01   1.47e-01   1.79e-03   1.21e-02
4.50e+01   1.60e-01   3.28e-03   1.35e-02
5.50e+01   1.45e-01   7.04e-03   1.22e-02

=======62GeV 2.0-4.0 GeV/c========================
  Cent        v2      stat err   sys err
5.00e+00   7.44e-02   4.51e-03   4.58e-03
1.50e+01   1.47e-01   3.57e-03   8.03e-03
2.50e+01   1.92e-01   4.43e-03   1.05e-02
3.50e+01   2.08e-01   6.46e-03   1.81e-02
4.50e+01   2.09e-01   1.20e-02   1.87e-02
5.50e+01   1.70e-01   2.65e-02   1.51e-02

