Charged hadron v1
pt v1 sta. sys. 

10-20%
0.425 0.00110919 9.08585e-05 0.00278971
0.575 0.0012105 0.000105801 0.00303343
0.725 0.000751094 0.000125575 0.00296928
0.9 -0.000528316 0.000134768 0.00284447
1.1 -0.00228762 0.000173745 0.00275412
1.3 -0.00495402 0.00022461 0.00284672
1.525 -0.00834317 0.000268215 0.00272689
1.775 -0.0136079 0.000369536 0.00335504
2.05 -0.019255 0.000477182 0.00455979
2.4 -0.0261039 0.0006296 0.00561276
2.8 -0.0355165 0.000998349 0.006878
3.25 -0.0423677 0.00144744 0.00806954
3.85 -0.0428606 0.00207181 0.00829127
4.6 -0.0343749 0.00327662 0.00663013
20-30%
0.425 0.00105269 9.28358e-05 0.00166698
0.575 0.00117069 0.000107751 0.00201601
0.725 0.000666489 0.00012795 0.00185634
0.9 -0.000454069 0.000137279 0.0018689
1.1 -0.00218983 0.000176792 0.00163121
1.3 -0.00465047 0.00022807 0.00187373
1.525 -0.00827961 0.000271357 0.00184471
1.775 -0.011955 0.000371971 0.00214116
2.05 -0.0175261 0.000477633 0.00238253
2.4 -0.023659 0.000626123 0.00315541
2.8 -0.0303248 0.000987093 0.00409665
3.25 -0.0329697 0.00141972 0.00447537
3.85 -0.0360824 0.00202529 0.00483052
4.6 -0.0313401 0.00321062 0.00413448
30-40%
0.425 0.000367999 0.000109037 0.00191918
0.575 0.000284394 0.00012642 0.00209542
0.725 -6.48354e-05 0.000150369 0.00207086
0.9 -0.000822278 0.000161554 0.00177315
1.1 -0.00286302 0.000208301 0.00188256
1.3 -0.00530165 0.000268917 0.00179489
1.525 -0.00792414 0.000319738 0.00215347
1.775 -0.0116648 0.000437741 0.00234018
2.05 -0.0157018 0.000559751 0.00237716
2.4 -0.0210487 0.000729663 0.00316394
2.8 -0.0268431 0.00114144 0.00384999
3.25 -0.027705 0.00161737 0.00477539
3.85 -0.0306663 0.00228782 0.00437593
4.6 -0.0228358 0.00361871 0.00340784
40-50%
0.425 -0.000770593 0.000139535 0.00219709
0.575 -0.000386472 0.000161765 0.00243711
0.725 -0.000704516 0.000193002 0.00236098
0.9 -0.00161827 0.00020783 0.00224021
1.1 -0.00307447 0.000268524 0.00188466
1.3 -0.00540643 0.000347176 0.00203213
1.525 -0.00763695 0.000413005 0.00227558
1.775 -0.0107893 0.00056501 0.00174922
2.05 -0.0143687 0.000720213 0.00196243
2.4 -0.0175374 0.000933887 0.00224096
2.8 -0.0206154 0.00144812 0.00261829
3.25 -0.0201335 0.00202142 0.00246628
3.85 -0.0245188 0.00283779 0.00303796
4.6 -0.0223661 0.00445243 0.00398845
