Charged hadron v2 
pt v2 sta. sys. 

0-10% 
0.275 0.017843 7.43465e-05 0.000961127
0.425 0.0267096 8.36959e-05 0.00122652
0.575 0.0345398 9.79988e-05 0.00157924
0.725 0.0418702 0.000116569 0.00205716
0.9 0.0495509 0.000125199 0.0022137
1.1 0.0578366 0.000161162 0.00259075
1.3 0.0658431 0.000207637 0.00284094
1.525 0.0739186 0.000246919 0.00330725
1.775 0.080843 0.000339439 0.00380062
2.05 0.0870996 0.000438382 0.00377008
2.4 0.0928647 0.000580632 0.00413085
2.8 0.092171 0.000931014 0.00379778
3.25 0.0911269 0.00136211 0.00403786
3.85 0.0788768 0.00196616 0.00331577
4.6 0.0658567 0.00309932 0.00271335

10-20% 
0.275 0.0239107 7.46281e-05 0.00133807
0.425 0.0362486 8.19332e-05 0.00174823
0.575 0.0471717 9.5408e-05 0.00224711
0.725 0.0574514 0.000113326 0.00277613
0.9 0.0681497 0.000121623 0.00308515
1.1 0.0793371 0.000156532 0.00351726
1.3 0.0901189 0.000201715 0.00390473
1.525 0.10056 0.000239696 0.00441032
1.775 0.110498 0.000328933 0.00460185
2.05 0.119068 0.000423535 0.00506774
2.4 0.124975 0.000558248 0.00537597
2.8 0.126989 0.000889282 0.00568145
3.25 0.121997 0.00129404 0.00504878
3.85 0.106395 0.00186115 0.00505032
4.6 0.0971881 0.0029504 0.00425438

20-30%
0.275 0.0301924 8.39515e-05 0.00154537
0.425 0.0462588 9.08322e-05 0.00234819
0.575 0.0602075 0.0001054 0.00313834
0.725 0.0734714 0.000125149 0.00368983
0.9 0.0873662 0.000134243 0.00413632
1.1 0.102237 0.000172762 0.00474426
1.3 0.115611 0.000222659 0.00519134
1.525 0.128733 0.000264476 0.005589
1.775 0.139842 0.000362332 0.00604743
2.05 0.148912 0.000464769 0.0064351
2.4 0.155805 0.000609006 0.00683349
2.8 0.155736 0.000961607 0.00647083
3.25 0.148778 0.00138464 0.00615367
3.85 0.136638 0.00197646 0.00581438
4.6 0.116278 0.00313851 0.0048556

30-40% 
0.275 0.0338371 0.000108971 0.00204018
0.425 0.0533367 0.000116821 0.00342528
0.575 0.0702035 0.000135406 0.00441927
0.725 0.0859615 0.000161005 0.00577154
0.9 0.102472 0.000172906 0.00623133
1.1 0.119125 0.000222816 0.00664747
1.3 0.134412 0.000287443 0.00742815
1.525 0.14869 0.000341563 0.00778735
1.775 0.161127 0.000467376 0.00847946
2.05 0.170128 0.00059746 0.00861083
2.4 0.174894 0.000778617 0.00924759
2.8 0.174503 0.00121853 0.0090399
3.25 0.167846 0.0017284 0.0090167
3.85 0.153522 0.00244574 0.00792681
4.6 0.129132 0.00387409 0.0073824

40-50%
0.275 0.0351408 0.000161284 0.00191308
0.425 0.056547 0.000172561 0.0036629
0.575 0.0751743 0.000199999 0.00468611
0.725 0.0925863 0.000238542 0.00589277
0.9 0.109919 0.000256772 0.00661218
1.1 0.128327 0.000331602 0.00736913
1.3 0.144948 0.000428503 0.00816555
1.525 0.158983 0.000509534 0.00830621
1.775 0.170581 0.000697026 0.00889964
2.05 0.176731 0.000888191 0.00879325
2.4 0.181717 0.00115143 0.00980902
2.8 0.181587 0.00178645 0.00917711
3.25 0.173192 0.00249354 0.00887945
3.85 0.158241 0.00350227 0.00786514
4.6 0.134223 0.0054945 0.0100829

50-60%
0.275 0.0332596 0.000274761 0.00220693
0.425 0.0557605 0.000294544 0.0039668
0.575 0.0744655 0.000342927 0.00523491
0.725 0.0924092 0.000411489 0.00600318
0.9 0.109579 0.000446154 0.00695878
1.1 0.128317 0.000580351 0.00773583
1.3 0.143042 0.000754236 0.00781978
1.525 0.156983 0.00090037 0.00840146
1.775 0.167345 0.00123363 0.00866563
2.05 0.178315 0.00157146 0.00922746
2.4 0.178983 0.0020284 0.00944445
2.8 0.179407 0.00312961 0.00883694
3.25 0.164398 0.00434769 0.00841766
3.85 0.165449 0.00604072 0.0081534
4.6 0.14724 0.00942578 0.0156919
