PID v3
pt v3 sta. sys. 

10-30%
pion
0.275 0.00409763 0.000429563 0.000122929
0.425 0.010984 0.000434318 0.00032952
0.575 0.0195401 0.000495522 0.000586203
0.725 0.0281151 0.000598188 0.000843453
0.9 0.0384067 0.000666973 0.0011522
1.1 0.0467273 0.000899962 0.00140182
1.3 0.0594318 0.00121037 0.00178295
1.525 0.0670036 0.00149566 0.00201011
1.775 0.0750149 0.002119 0.00225045
2.05 0.0804387 0.00284132 0.00402194
2.4 0.0891275 0.00407293 0.00445638
2.8 0.0827286 0.00755136 0.00413643
3.25 0.0803471 0.0134551 0.00401735
kaon
0.425 0.00737102 0.00282645 0.000221131
0.575 0.0119446 0.00194817 0.000358338
0.725 0.0204184 0.00184419 0.000612552
0.9 0.0270041 0.00174214 0.000810123
1.1 0.0406029 0.00206904 0.00121809
1.3 0.047659 0.00253492 0.00142977
1.525 0.0546978 0.00287998 0.00164093
1.775 0.068139 0.00374392 0.00204417
2.05 0.0632229 0.00470656 0.00632229
2.4 0.0695272 0.00643414 0.00695272
2.8 0.0657974 0.0115806 0.00657974
proton
0.575 0.00697094 0.00234368 0.000209128
0.725 0.0142159 0.00199823 0.000426477
0.9 0.019724 0.00158361 0.00059172
1.1 0.0303885 0.00163795 0.000911655
1.3 0.0409048 0.00190713 0.00122714
1.525 0.0559263 0.00213777 0.00167779
1.775 0.0776142 0.00283802 0.00232843
2.05 0.086881 0.00360252 0.00434405
2.4 0.114317 0.00473636 0.00571585
2.8 0.111868 0.00749814 0.0055934
3.25 0.119047 0.0109572 0.00595235
