pAu
ntrk 2<2>^2 stat-err
8.5 0.000139366 3.5189e-07
10.5 0.000116362 2.52384e-07
12.5 0.000100906 1.96416e-07
14.5 8.96632e-05 1.63642e-07
16.5 8.15782e-05 1.45223e-07
18.5 7.56155e-05 1.36282e-07
20.5 7.11437e-05 1.34361e-07
22.5 6.74742e-05 1.37957e-07
24.5 6.39269e-05 1.46263e-07
26.5 6.14113e-05 1.60776e-07
28.5 5.87127e-05 1.81097e-07
30.5 5.66038e-05 2.09597e-07
32.5 5.49662e-05 2.48466e-07
34.5 5.29208e-05 2.99015e-07
36.5 5.1217e-05 3.67116e-07
38.5 4.99672e-05 4.59415e-07
40.5 4.69742e-05 5.70817e-07
42.5 4.58131e-05 7.34503e-07
44.5 4.35839e-05 9.44631e-07
46.5 4.53795e-05 1.27978e-06
48.5 4.4658e-05 1.7381e-06

pAu
ntrk <4> stat-err
8.5 0.000175647 3.63052e-06
10.5 0.00013866 2.14813e-06
12.5 0.000117722 1.45092e-06
14.5 0.000102878 1.08137e-06
16.5 8.95026e-05 8.71041e-07
18.5 8.21394e-05 7.52458e-07
20.5 7.76748e-05 6.89966e-07
22.5 7.25523e-05 6.63471e-07
24.5 6.83139e-05 6.67527e-07
26.5 6.46587e-05 6.96584e-07
28.5 6.44197e-05 7.54567e-07
30.5 6.28041e-05 8.49491e-07
32.5 6.05484e-05 9.81153e-07
34.5 5.9717e-05 1.17117e-06
36.5 6.05036e-05 1.48978e-06
38.5 5.94591e-05 1.95381e-06
40.5 6.10135e-05 2.70176e-06
42.5 6.82749e-05 3.74578e-06
44.5 7.48447e-05 5.95131e-06
46.5 8.09675e-05 8.10547e-06
48.5 0.00012012 1.90351e-05

pAu
ntrk c2{4} stat-err
8.5 3.62808e-05 3.64753e-06
10.5 2.22976e-05 2.16291e-06
12.5 1.68169e-05 1.46415e-06
14.5 1.32146e-05 1.09368e-06
16.5 7.92441e-06 8.83064e-07
18.5 6.52397e-06 7.647e-07
20.5 6.53111e-06 7.02927e-07
22.5 5.07813e-06 6.77662e-07
24.5 4.38703e-06 6.83363e-07
26.5 3.24742e-06 7.14897e-07
28.5 5.70701e-06 7.75994e-07
30.5 6.20035e-06 8.74966e-07
32.5 5.58223e-06 1.01212e-06
34.5 6.79617e-06 1.20874e-06
36.5 9.28665e-06 1.53435e-06
38.5 9.49196e-06 2.0071e-06
40.5 1.40393e-05 2.7614e-06
42.5 2.24618e-05 3.81712e-06
44.5 3.12608e-05 6.02581e-06
46.5 3.5588e-05 8.20589e-06
48.5 7.54623e-05 1.91143e-05

dAu
ntrk 2<2>^2 stat-err
8.5 0.000223076 1.86833e-06
10.5 0.000178342 1.15188e-06
12.5 0.000147541 7.56139e-07
14.5 0.000125329 5.294e-07
16.5 0.00011 3.95563e-07
18.5 0.000100057 3.15342e-07
20.5 9.3058e-05 2.65514e-07
22.5 8.83548e-05 2.35061e-07
24.5 8.49485e-05 2.17242e-07
26.5 8.21371e-05 2.08031e-07
28.5 8.02816e-05 2.06565e-07
30.5 7.80488e-05 2.10127e-07
32.5 7.65685e-05 2.20074e-07
34.5 7.52326e-05 2.36192e-07
36.5 7.3548e-05 2.57828e-07
38.5 7.2996e-05 2.88812e-07
40.5 7.02603e-05 3.2449e-07
42.5 6.93921e-05 3.73664e-07
44.5 6.81437e-05 4.35908e-07
46.5 6.61312e-05 5.12562e-07
48.5 6.44625e-05 6.07772e-07

dAu
ntrk <4> stat-err
8.5 0.000193934 2.51129e-05
10.5 0.000173853 1.05403e-05
12.5 0.000140465 5.41976e-06
14.5 0.000121166 3.19269e-06
16.5 0.00010514 2.09424e-06
18.5 9.85133e-05 1.49791e-06
20.5 8.82096e-05 1.14762e-06
22.5 8.33411e-05 9.36925e-07
24.5 8.013e-05 8.06164e-07
26.5 7.69139e-05 7.23772e-07
28.5 7.5415e-05 6.80469e-07
30.5 7.29227e-05 6.5855e-07
32.5 7.10453e-05 6.59945e-07
34.5 7.11037e-05 6.82518e-07
36.5 6.85731e-05 7.1805e-07
38.5 6.82447e-05 7.75357e-07
40.5 6.66591e-05 8.51597e-07
42.5 6.47179e-05 9.49273e-07
44.5 6.26876e-05 1.07555e-06
46.5 6.23744e-05 1.24722e-06
48.5 5.73841e-05 1.42942e-06

dAu
ntrk c2{4} stat-err
8.5 -2.91417e-05 2.51823e-05
10.5 -4.4884e-06 1.06031e-05
12.5 -7.07635e-06 5.47225e-06
14.5 -4.16331e-06 3.23629e-06
16.5 -4.85979e-06 2.13127e-06
18.5 -1.54416e-06 1.53075e-06
20.5 -4.8484e-06 1.17793e-06
22.5 -5.01375e-06 9.65962e-07
24.5 -4.81858e-06 8.34922e-07
26.5 -5.22319e-06 7.53076e-07
28.5 -4.86652e-06 7.11131e-07
30.5 -5.12606e-06 6.91261e-07
32.5 -5.52319e-06 6.95672e-07
34.5 -4.12892e-06 7.22231e-07
36.5 -4.97495e-06 7.62936e-07
38.5 -4.75137e-06 8.274e-07
40.5 -3.60115e-06 9.11324e-07
42.5 -4.67418e-06 1.02017e-06
44.5 -5.4561e-06 1.16053e-06
46.5 -3.75682e-06 1.34844e-06
48.5 -7.07835e-06 1.55327e-06
