ntrk 2<2>^2 stat-err
8.5 0.000139366 3.5189e-07
10.5 0.000116362 2.52384e-07
12.5 0.000100906 1.96416e-07
14.5 8.96632e-05 1.63642e-07
16.5 8.15782e-05 1.45223e-07
18.5 7.56155e-05 1.36282e-07
20.5 7.11437e-05 1.34361e-07
22.5 6.74742e-05 1.37957e-07
24.5 6.39269e-05 1.46263e-07
26.5 6.14113e-05 1.60776e-07
28.5 5.87127e-05 1.81097e-07
30.5 5.66038e-05 2.09597e-07
32.5 5.49662e-05 2.48466e-07
34.5 5.29208e-05 2.99015e-07
36.5 5.1217e-05 3.67116e-07
38.5 4.99672e-05 4.59415e-07
40.5 4.69742e-05 5.70817e-07
42.5 4.58131e-05 7.34503e-07
44.5 4.35839e-05 9.44631e-07
46.5 4.53795e-05 1.27978e-06
48.5 4.4658e-05 1.7381e-06

ntrk <4> stat-err
8.5 0.000175647 3.63052e-06
10.5 0.00013866 2.14813e-06
12.5 0.000117722 1.45092e-06
14.5 0.000102878 1.08137e-06
16.5 8.95026e-05 8.71041e-07
18.5 8.21394e-05 7.52458e-07
20.5 7.76748e-05 6.89966e-07
22.5 7.25523e-05 6.63471e-07
24.5 6.83139e-05 6.67527e-07
26.5 6.46587e-05 6.96584e-07
28.5 6.44197e-05 7.54567e-07
30.5 6.28041e-05 8.49491e-07
32.5 6.05484e-05 9.81153e-07
34.5 5.9717e-05 1.17117e-06
36.5 6.05036e-05 1.48978e-06
38.5 5.94591e-05 1.95381e-06
40.5 6.10135e-05 2.70176e-06
42.5 6.82749e-05 3.74578e-06
44.5 7.48447e-05 5.95131e-06
46.5 8.09675e-05 8.10547e-06
48.5 0.00012012 1.90351e-05

ntrk c2{4} stat-err
8.5 3.62808e-05 3.64753e-06
10.5 2.22976e-05 2.16291e-06
12.5 1.68169e-05 1.46415e-06
14.5 1.32146e-05 1.09368e-06
16.5 7.92441e-06 8.83064e-07
18.5 6.52397e-06 7.647e-07
20.5 6.53111e-06 7.02927e-07
22.5 5.07813e-06 6.77662e-07
24.5 4.38703e-06 6.83363e-07
26.5 3.24742e-06 7.14897e-07
28.5 5.70701e-06 7.75994e-07
30.5 6.20035e-06 8.74966e-07
32.5 5.58223e-06 1.01212e-06
34.5 6.79617e-06 1.20874e-06
36.5 9.28665e-06 1.53435e-06
38.5 9.49196e-06 2.0071e-06
40.5 1.40393e-05 2.7614e-06
42.5 2.24618e-05 3.81712e-06
44.5 3.12608e-05 6.02581e-06
46.5 3.5588e-05 8.20589e-06
48.5 7.54623e-05 1.91143e-05
