ntrk 2<2>^2 stat-err
8.5 0.000223076 1.86833e-06
10.5 0.000178342 1.15188e-06
12.5 0.000147541 7.56139e-07
14.5 0.000125329 5.294e-07
16.5 0.00011 3.95563e-07
18.5 0.000100057 3.15342e-07
20.5 9.3058e-05 2.65514e-07
22.5 8.83548e-05 2.35061e-07
24.5 8.49485e-05 2.17242e-07
26.5 8.21371e-05 2.08031e-07
28.5 8.02816e-05 2.06565e-07
30.5 7.80488e-05 2.10127e-07
32.5 7.65685e-05 2.20074e-07
34.5 7.52326e-05 2.36192e-07
36.5 7.3548e-05 2.57828e-07
38.5 7.2996e-05 2.88812e-07
40.5 7.02603e-05 3.2449e-07
42.5 6.93921e-05 3.73664e-07
44.5 6.81437e-05 4.35908e-07
46.5 6.61312e-05 5.12562e-07
48.5 6.44625e-05 6.07772e-07

ntrk <4> stat-err
8.5 0.000193934 2.51129e-05
10.5 0.000173853 1.05403e-05
12.5 0.000140465 5.41976e-06
14.5 0.000121166 3.19269e-06
16.5 0.00010514 2.09424e-06
18.5 9.85133e-05 1.49791e-06
20.5 8.82096e-05 1.14762e-06
22.5 8.33411e-05 9.36925e-07
24.5 8.013e-05 8.06164e-07
26.5 7.69139e-05 7.23772e-07
28.5 7.5415e-05 6.80469e-07
30.5 7.29227e-05 6.5855e-07
32.5 7.10453e-05 6.59945e-07
34.5 7.11037e-05 6.82518e-07
36.5 6.85731e-05 7.1805e-07
38.5 6.82447e-05 7.75357e-07
40.5 6.66591e-05 8.51597e-07
42.5 6.47179e-05 9.49273e-07
44.5 6.26876e-05 1.07555e-06
46.5 6.23744e-05 1.24722e-06
48.5 5.73841e-05 1.42942e-06

ntrk c2{4} stat-err
8.5 -2.91417e-05 2.51823e-05
10.5 -4.4884e-06 1.06031e-05
12.5 -7.07635e-06 5.47225e-06
14.5 -4.16331e-06 3.23629e-06
16.5 -4.85979e-06 2.13127e-06
18.5 -1.54416e-06 1.53075e-06
20.5 -4.8484e-06 1.17793e-06
22.5 -5.01375e-06 9.65962e-07
24.5 -4.81858e-06 8.34922e-07
26.5 -5.22319e-06 7.53076e-07
28.5 -4.86652e-06 7.11131e-07
30.5 -5.12606e-06 6.91261e-07
32.5 -5.52319e-06 6.95672e-07
34.5 -4.12892e-06 7.22231e-07
36.5 -4.97495e-06 7.62936e-07
38.5 -4.75137e-06 8.274e-07
40.5 -3.60115e-06 9.11324e-07
42.5 -4.67418e-06 1.02017e-06
44.5 -5.4561e-06 1.16053e-06
46.5 -3.75682e-06 1.34844e-06
48.5 -7.07835e-06 1.55327e-06
