200 GeV
ntrk v2{2} stat-err sys-err
5 0.115953 0.000337775 0.0117679
6 0.111429 0.000272146 0.0113088
7 0.107323 0.000222081 0.0108921
8 0.104379 0.000182023 0.0105933
9 0.10139 0.000150403 0.0102899
10 0.0983121 0.000125635 0.00997759
11 0.0962111 0.00010587 0.00976436
12 0.0939111 9.03958e-05 0.00953093
13 0.0916079 7.81693e-05 0.00929718
14 0.0897945 6.84384e-05 0.00911315
15 0.0882415 6.06031e-05 0.00895553
16 0.0866559 5.44134e-05 0.00879462
17 0.085623 4.93146e-05 0.00868979
18 0.0845668 4.52706e-05 0.00858259
19 0.0836602 4.20112e-05 0.00849058
20 0.0828519 3.93955e-05 0.00840855
21 0.0823349 3.72793e-05 0.00835608
22 0.0818406 3.56458e-05 0.00830591
23 0.0812097 3.44248e-05 0.00824188
24 0.0808639 3.35132e-05 0.00820679
25 0.0805899 3.28981e-05 0.00817898
26 0.080248 3.25531e-05 0.00814429
27 0.0798453 3.24757e-05 0.00810342
28 0.0797023 3.26297e-05 0.0080889
29 0.0794821 3.29897e-05 0.00806655
30 0.0790652 3.36141e-05 0.00802424
31 0.0790067 3.44095e-05 0.0080183
32 0.0788249 3.54795e-05 0.00799986
33 0.0784735 3.6782e-05 0.00796419
34 0.0784412 3.8343e-05 0.00796091
35 0.0781688 4.01937e-05 0.00793327
36 0.0779413 4.22995e-05 0.00791017
37 0.0777923 4.47467e-05 0.00789506
38 0.077772 4.75078e-05 0.00789299
39 0.0776716 5.0731e-05 0.00788281
40 0.0771677 5.43808e-05 0.00783166
41 0.07677 5.85071e-05 0.0077913
42 0.0768298 6.30529e-05 0.00779738
43 0.0766494 6.83064e-05 0.00777906
44 0.0764901 7.42376e-05 0.0077629
45 0.0762911 8.08333e-05 0.00774271
46 0.0760168 8.84051e-05 0.00771486
47 0.0755987 9.71777e-05 0.00767243
48 0.0756053 0.000106428 0.0076731
49 0.0750242 0.000117178 0.00761413

200 GeV
