////////////////////////////////////
//////                         ////
/////  Meson RAA (Fig. 5, 6)  ////
////                         ////
////////////////////////////////


Table 3.1.1. pi0 meson RAA (Glauber 1) vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)           RAA  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      1.25  3.621081e-01         4.670473e-03   3.856673e-02   7.927648e-02  
      1.75  3.719373e-01         3.377025e-03   3.552047e-02   8.142839e-02  
      2.25  3.542480e-01         2.837832e-03   3.451260e-02   7.755566e-02  
      2.75  3.340378e-01         2.674922e-03   3.391860e-02   7.313103e-02  
      3.25  2.993440e-01         2.656941e-03   3.160679e-02   6.553551e-02  
      3.75  2.698344e-01         2.937584e-03   2.955397e-02   5.907496e-02  
      4.25  2.623709e-01         2.127340e-03   3.068967e-02   5.744097e-02  
      4.75  2.492101e-01         2.295023e-03   2.976203e-02   5.455967e-02  
      5.25  2.461809e-01         2.614582e-03   2.983312e-02   5.389649e-02  
      5.75  2.380755e-01         3.048487e-03   2.904564e-02   5.212197e-02  
      6.25  2.489835e-01         3.785466e-03   3.051630e-02   5.451006e-02  
      6.75  2.465924e-01         4.676114e-03   3.036537e-02   5.398658e-02  
      7.25  2.486193e-01         5.582843e-03   3.079272e-02   5.443033e-02  
      7.75  2.456792e-01         6.651737e-03   3.052080e-02   5.378665e-02  
      8.25  2.564758e-01         8.438647e-03   3.204745e-02   5.615035e-02  
      8.75  2.330719e-01         9.445780e-03   2.945908e-02   5.102653e-02  
      9.25  2.624749e-01         1.201041e-02   3.328871e-02   5.746374e-02  
      9.75  2.945473e-01         1.606730e-02   3.783275e-02   6.448536e-02  
        11  2.660971e-01         1.025734e-02   3.504583e-02   5.825675e-02  
        13  2.705408e-01         1.867307e-02   3.915859e-02   5.922961e-02  
        15  3.490542e-01         4.309924e-02   5.563836e-02   7.641858e-02  
        17  4.212880e-01         8.566564e-02   8.056332e-02   9.223276e-02  
 0-20%
      1.25  3.350818e-01         6.806100e-03   3.613788e-02   5.081657e-02  
      1.75  3.393188e-01         4.808439e-03   3.269648e-02   5.145913e-02  
      2.25  3.212623e-01         4.035092e-03   3.146267e-02   4.872079e-02  
      2.75  2.953169e-01         3.598113e-03   3.001376e-02   4.478606e-02  
      3.25  2.529607e-01         3.215815e-03   2.664254e-02   3.836256e-02  
      3.75  2.153527e-01         3.092683e-03   2.346797e-02   3.265915e-02  
      4.25  2.088908e-01         2.752338e-03   2.427359e-02   3.167917e-02  
      4.75  1.904192e-01         2.800802e-03   2.261672e-02   2.887788e-02  
