////////////////////////////////////////
//////                             ////
/////  Invariant yields (Fig. 2)  ////
////                             ////
////////////////////////////////////

Table 1.1. pi0 meson invariant yields vs. pT and centrality in U+U at 192 GeV


pT (GeV/c)  Inv. yield ((GeV/c)^{-2})  Stat. + Type A Unc.    Type B Unc.    Type C Unc.
Minimum Bias
      1.25               1.023071e+00         1.317401e-02   4.379850e-02   5.319969e-02  
      1.75               1.668544e-01         1.502355e-03   8.020955e-03   8.676427e-03  
      2.25               3.409751e-02         2.647312e-04   1.812672e-03   1.773071e-03  
      2.75               8.205684e-03         5.995801e-05   4.851295e-04   4.266956e-04  
      3.25               2.200196e-03         1.571667e-05   1.417397e-04   1.144102e-04  
      3.75               6.662986e-04         4.822989e-06   4.597285e-05   3.464753e-05  
      4.25               2.350221e-04         1.840088e-06   1.709728e-05   1.222115e-05  
      4.75               9.163807e-05         7.973538e-07   6.929708e-06   4.765179e-06  
      5.25               3.993045e-05         3.892373e-07   3.099726e-06   2.076384e-06  
      5.75               1.866934e-05         2.134989e-07   1.470407e-06   9.708058e-07  
      6.25               9.611278e-06         1.279690e-07   7.600251e-07   4.997865e-07  
      6.75               5.104145e-06         8.335010e-08   4.049121e-07   2.654155e-07  
      7.25               2.917753e-06         5.492410e-08   2.323120e-07   1.517232e-07  
      7.75               1.687182e-06         3.766646e-08   1.349179e-07   8.773347e-08  
      8.25               1.049721e-06         2.812870e-08   8.423669e-08   5.458552e-08  
      8.75               6.076514e-07         2.034783e-08   4.957245e-08   3.159787e-08  
      9.25               4.213535e-07         1.515517e-08   3.456225e-08   2.191038e-08  
      9.75               2.924756e-07         1.214083e-08   2.437181e-08   1.520873e-08  
        11               1.092829e-07         3.186764e-09   9.146550e-09   5.682712e-09  
        13               2.845185e-08         1.405833e-09   2.629013e-09   1.479496e-09  
        15               9.115013e-09         8.147536e-10   9.420441e-10   4.739807e-10  
        17               3.720821e-09         5.567273e-10   4.878773e-10   1.934827e-10  
 0-20%
      1.25               2.559870e+00         5.196711e-02   1.178760e-01   1.331133e-01  
      1.75               4.115994e-01         5.812835e-03   2.047882e-02   2.140317e-02  
      2.25               8.361304e-02         1.037143e-03   4.522597e-03   4.347878e-03  
      2.75               1.961581e-02         2.301935e-04   1.162779e-03   1.020022e-03  
      3.25               5.027392e-03         5.816554e-05   3.216915e-04   2.614244e-04  
      3.75               1.437874e-03         1.702018e-05   9.794529e-05   7.476942e-05  
      4.25               5.059543e-04         6.580596e-06   3.617860e-05   2.630962e-05  
      4.75               1.893302e-04         2.725589e-06   1.412143e-05   9.845170e-06  
      5.25               8.310428e-05         1.329481e-06   6.360157e-06   4.321422e-06  
      5.75               3.865858e-05         7.169836e-07   3.005017e-06   2.010246e-06  
      6.25               1.982194e-05         4.214936e-07   1.548096e-06   1.030741e-06  
      6.75               1.071344e-05         2.697357e-07   8.401880e-07   5.570987e-07  
      7.25               6.087950e-06         1.757350e-07   4.793788e-07   3.165734e-07  
